text,date,week,neg,neu,pos,compound,month,year,sentimen
googl cloud tap amd new servic chip war heat,17/06/2021,24,0.328,0.672,0,-0.5994,6,2021,negatif
googl revers crypto ad ban testament blockchain market matur,10/06/2021,23,0.31,0.69,0,-0.5574,6,2021,negatif
googl build new undersea cabl connect latin america us,09/06/2021,23,0,1,0,0,6,2021,netral
ohio sue googl declar public util,08/06/2021,23,0,1,0,0,6,2021,netral
googl eas ad restrict crypto wallet exchang,03/06/2021,22,0.302,0.698,0,-0.3818,6,2021,negatif
googl backtrack threeyearold crypto ad ban,03/06/2021,22,0.419,0.581,0,-0.5574,6,2021,negatif
coinbas link visa debit card appl pay googl pay,02/06/2021,22,0.286,0.714,0,-0.2023,6,2021,negatif
search giant googl lift ban crypto exchang wallet advertis,02/06/2021,22,0.31,0.69,0,-0.5574,6,2021,negatif
coinbas debut crypto rebat onlin shop via appl pay googl pay,01/06/2021,22,0.237,0.763,0,-0.2023,6,2021,negatif
druckenmil ethereum myspac facebook bitcoin googl,31/05/2021,22,0,1,0,0,5,2021,netral
googl cloud provid blockchain insight polygon,30/05/2021,21,0,1,0,0,5,2021,netral
here tesla googl buy right,20/05/2021,20,0,1,0,0,5,2021,netral
googl win cloud deal spacex starlink internet servic,13/05/2021,19,0,0.648,0.352,0.5859,5,2021,positif
googl search interest dogecoin outstrip bitcoin first time,10/05/2021,19,0,0.7,0.3,0.4588,5,2021,positif
texa feder judg hear argument date googl trial,06/05/2021,18,0.263,0.737,0,-0.3612,5,2021,negatif
appl vs googl faang stock better buy,04/05/2021,18,0,0.674,0.326,0.4404,5,2021,positif
onlin advertis stock buy follow googl blowout earn,03/05/2021,18,0,1,0,0,5,2021,netral
australia seven west media finalis news content deal googl facebook,02/05/2021,17,0,1,0,0,5,2021,netral
block googl class action would deni justic uk court told,29/04/2021,17,0.244,0.756,0,-0.4404,4,2021,negatif
analysi googl plenti cash nowher go,28/04/2021,17,0,1,0,0,4,2021,netral
appl googl app store may need regul chang made australian regul,27/04/2021,17,0,1,0,0,4,2021,netral
pancakeswap googl search surg time uniswap,25/04/2021,16,0,1,0,0,4,2021,netral
gemini user buy bitcoin appl pay googl pay,25/04/2021,16,0.318,0.682,0,-0.2023,4,2021,negatif
gemini user buy bitcoin appl pay googl pay,24/04/2021,16,0.318,0.682,0,-0.2023,4,2021,negatif
israel pick amazon aw googl flagship cloud project,21/04/2021,16,0,0.659,0.341,0.2732,4,2021,positif
daili mail owner sue googl monopoli ad busi,20/04/2021,16,0,1,0,0,4,2021,netral
russian competit watchdog open case googl youtub curb,19/04/2021,16,0,1,0,0,4,2021,netral
kakao mobil secur strateg invest googl,03/04/2021,13,0,1,0,0,4,2021,netral
kakao mobil secur strateg invest googl,31/03/2021,13,0,1,0,0,3,2021,netral
googl map start direct driver ecofriendli rout,31/03/2021,13,0,1,0,0,3,2021,netral
googl uniswap search rise amid upcom v launch,24/03/2021,12,0,1,0,0,3,2021,netral
googl financ add crypto tab featur btc eth ltc bch,01/03/2021,9,0,1,0,0,3,2021,netral
googl financ add dedic crypto tab featur bitcoin ether litecoin,28/02/2021,8,0,1,0,0,2,2021,netral
justic depart give judg big googl document request,24/02/2021,8,0,1,0,0,2,2021,netral
googl add appl tv app latest chromecast devic,18/02/2021,7,0,1,0,0,2,2021,netral
australia seven west media strike deal googl news,16/02/2021,7,0.176,0.824,0,-0.128,2,2021,negatif
franc fine googl million euro hotel rank practic,15/02/2021,7,0,0.795,0.205,0.2023,2,2021,positif
googl shut intern stadia game develop studio,01/02/2021,5,0,1,0,0,2,2021,netral
googl reportedli scrap thousand neg robinhood review,30/01/2021,4,0,1,0,0,1,2021,netral
googl reportedli scrap thousand neg robinhood review,29/01/2021,4,0,1,0,0,1,2021,netral
googl open dublin hub tackl harm onlin content,27/01/2021,4,0.333,0.667,0,-0.5423,1,2021,negatif
googl search ethereum hit alltim high,09/01/2021,1,0,1,0,0,1,2021,netral
texa hire two law firm googl probe team,15/12/2020,51,0,1,0,0,12,2020,netral
cricket coronaviru dalgona coffe india search googl,09/12/2020,50,0,1,0,0,12,2020,netral
googl search bitcoin rise cuba,02/11/2020,45,0,1,0,0,11,2020,netral
googl plan launch vpn servic consum,29/10/2020,44,0,1,0,0,10,2020,netral
judg set first hear us googl antitrust lawsuit,26/10/2020,44,0.213,0.787,0,-0.2263,10,2020,negatif
itali commun watchdog fine googl bet ad,22/10/2020,43,0,0.769,0.231,0.2023,10,2020,positif
googl launch new featur help locat nearest vote locat,16/10/2020,42,0,0.748,0.252,0.4019,10,2020,positif
googl cloud bet eo blockchain ventur crypto,08/10/2020,41,0,1,0,0,10,2020,netral
googl cloud join eo blockhain commun,06/10/2020,41,0,0.694,0.306,0.296,10,2020,positif
googl renam busi softwar packag workspac,06/10/2020,41,0,1,0,0,10,2020,netral
norway plan covid track base googl appl technolog,28/09/2020,40,0,1,0,0,9,2020,netral
googl say denmark review tax,31/08/2020,36,0,1,0,0,8,2020,netral
googl goe public rebuk australia antitrust law,17/08/2020,34,0,1,0,0,8,2020,netral
googl support oecd engag digit tax ceo pichai say,13/07/2020,29,0,0.748,0.252,0.4019,7,2020,positif
googl restrict advertis unauthor track technolog,10/07/2020,28,0.342,0.658,0,-0.3818,7,2020,negatif
deutsch bank googl agre multiyear strateg partnership,07/07/2020,28,0,1,0,0,7,2020,netral
googl remov mislead ad votingrel search,29/06/2020,27,0,1,0,0,6,2020,netral
googl extend factcheck imag search,22/06/2020,26,0,0.702,0.298,0.1779,6,2020,positif
googl take indian app remov chines one spokesman,03/06/2020,23,0,1,0,0,6,2020,netral
googl consid take stake vodafon idea ft,28/05/2020,22,0,1,0,0,5,2020,netral
theta confirm googl partnership amid mainnet rollout,27/05/2020,22,0,1,0,0,5,2020,netral
googl cloud secur us defens depart contract,20/05/2020,21,0,1,0,0,5,2020,netral
cut us slack german travel startup tell googl,30/04/2020,18,0.231,0.769,0,-0.2732,4,2020,negatif
googl parent alphabet quarterli revenu beat estim,28/04/2020,18,0,1,0,0,4,2020,netral
applegoogl allianc welcom european coronaviru app platform,15/04/2020,16,0,1,0,0,4,2020,netral
googl launch coronaviru websit unit state,22/03/2020,12,0,1,0,0,3,2020,netral
googl explor use locat info slow coronaviru spread,20/03/2020,12,0,1,0,0,3,2020,netral
googl critic see firebas tool anoth squeez play,19/03/2020,12,0.2,0.571,0.229,0.0772,3,2020,positif
brave browser deliv promis file gdpr complaint googl,16/03/2020,12,0.19,0.517,0.293,0.296,3,2020,positif
googl recommend north america employe work home,10/03/2020,11,0,0.706,0.294,0.3612,3,2020,positif
ledger wallet warn fake googl chrome extens steal crypto,06/03/2020,10,0.562,0.438,0,-0.7717,3,2020,negatif
eu privaci bodi warn risk googl fitbit deal,20/02/2020,8,0.368,0.632,0,-0.3612,2,2020,negatif
googl join hedera hashgraph govern council,11/02/2020,7,0,0.694,0.306,0.296,2,2020,positif
justic depart delrahim recus googl antitrust review,04/02/2020,6,0,1,0,0,2,2020,netral
googl play lift ban ethereum browser extens metamask,02/01/2020,1,0.3,0.5,0.2,-0.296,1,2020,negatif
googl settl longstand tax disput australia,18/12/2019,51,0,1,0,0,12,2019,netral
googl enter game cloudbas stream servic stadia,19/11/2019,47,0,1,0,0,11,2019,netral
googl antitrust probe expand android cnbc,14/11/2019,46,0,0.685,0.315,0.3182,11,2019,positif
googl pay offer check account citi stanford feder,13/11/2019,46,0.167,0.833,0,-0.1027,11,2019,negatif
googl sign healthcar data cloud comput deal ascens,11/11/2019,46,0,1,0,0,11,2019,netral
googl unveil quantum comput breakthrough critic say wait qubit,01/11/2019,44,0.208,0.792,0,-0.2732,11,2019,negatif
newsbreak googl agre buy fitbit billion,01/11/2019,44,0,1,0,0,11,2019,netral
googl result share stage us antitrust probe,28/10/2019,44,0,0.732,0.268,0.296,10,2019,positif
exclus googl owner alphabet bid buy fitbit sourc,28/10/2019,44,0,1,0,0,10,2019,netral
googl unveil pixel phone radar afford laptop,15/10/2019,42,0,1,0,0,10,2019,netral
googl enabl debit card payment brazil,14/10/2019,42,0,1,0,0,10,2019,netral
googl begin respond texa antitrust investig data demand,10/10/2019,41,0.176,0.824,0,-0.128,10,2019,negatif
googl offer incognito mode map privaci push,02/10/2019,40,0,1,0,0,10,2019,netral
london court allow mass claim googl iphon data,02/10/2019,40,0,0.787,0.213,0.2263,10,2019,positif
exgoogl product manag join multicoin capit invest princip,02/10/2019,40,0,0.761,0.239,0.296,10,2019,positif
exclus comcast emerg new googl antitrust foe sourc,01/10/2019,40,0.293,0.707,0,-0.4404,10,2019,negatif
facebook googl amazon face anoth hous inquiri bloomberg,01/10/2019,40,0,0.805,0.195,0.1779,10,2019,positif
googl stop show news snippet french user,25/09/2019,39,0.268,0.732,0,-0.296,9,2019,negatif
googl launch subscript servic select app game,23/09/2019,39,0,1,0,0,9,2019,netral
googl facebook rebuff russia polit advertis accus,09/09/2019,37,0,1,0,0,9,2019,netral
googl job search tool eu microscop,27/08/2019,35,0,1,0,0,8,2019,netral
googl cloud partner enterpris blockchain platform cypherium,13/08/2019,33,0,1,0,0,8,2019,netral
googl pledg carbonneutr ship recycl plastic devic,05/08/2019,32,0,1,0,0,8,2019,netral
googl suspend transcript voic assist record europ cnbc,01/08/2019,31,0.247,0.753,0,-0.3182,8,2019,negatif
stock googl starbuck tmobil push sp nasdaq new high,26/07/2019,30,0,1,0,0,7,2019,netral
googl parent alphabet earn revenu top estim,25/07/2019,30,0,0.769,0.231,0.2023,7,2019,positif
stock snap up rise premarket googl amazon boe fall,24/07/2019,30,0,0.825,0.175,0.1779,7,2019,positif
explain googl facebook could face us antitrust probe,24/07/2019,30,0,1,0,0,7,2019,netral
china lead world googl search facebook libra,18/07/2019,29,0,1,0,0,7,2019,netral
googl bias conserv execut,15/07/2019,29,0.318,0.682,0,-0.1027,7,2019,negatif
googl cloud absorb alphabet cybersecur firm chronicl,27/06/2019,26,0,1,0,0,6,2019,netral
googl calendar app global,18/06/2019,25,0,1,0,0,6,2019,netral
googl appoint stanley chen head greater china sale oper,16/06/2019,24,0,0.762,0.238,0.3612,6,2019,positif
googl polici head retool team global lobbi push,13/06/2019,24,0,1,0,0,6,2019,netral
stockbeat googl eye edg cloud war b bid looker,06/06/2019,23,0.358,0.642,0,-0.5994,6,2019,negatif
googl face privaci complaint european countri,04/06/2019,23,0.306,0.694,0,-0.296,6,2019,negatif
comic bullsey big tech trump make good threat go googl amazon,04/06/2019,23,0.212,0.5,0.287,0.0516,6,2019,positif
googl say issu affect youtub gmail googl cloud us resolv,03/06/2019,23,0,1,0,0,6,2019,netral
facebook googl fall favor us author sharpen fang,03/06/2019,23,0,0.722,0.278,0.4019,6,2019,positif
us justic depart prepar googl antitrust probe sourc,31/05/2019,22,0,1,0,0,5,2019,netral
irish regul open first privaci probe googl,24/05/2019,21,0,1,0,0,5,2019,netral
eu see complianc issu googl shop rival disagre,22/05/2019,21,0,1,0,0,5,2019,netral
huawei mobil user ponder switch brand googl news,20/05/2019,21,0,1,0,0,5,2019,netral
itali watchdog investig googl alleg antitrust abus,17/05/2019,20,0,1,0,0,5,2019,netral
googl plan new browser tool privaci ad transpar,08/05/2019,19,0,1,0,0,5,2019,netral
qtum confirm googl cloud featur rollout improv user access,03/05/2019,18,0,1,0,0,5,2019,netral
share googl parent slide earn beat revenu miss,29/04/2019,18,0.163,0.612,0.224,0.1531,4,2019,positif
us congression leader queri googl track databas,23/04/2019,17,0,1,0,0,4,2019,netral
bitcoin search googl doubl,08/04/2019,15,0,1,0,0,4,2019,netral
bitcoin search googl doubl,07/04/2019,14,0,1,0,0,4,2019,netral
googl pull plug ai ethic council,05/04/2019,14,0,1,0,0,4,2019,netral
googl search request bitcoin tripl recent price surg,04/04/2019,14,0,1,0,0,4,2019,netral
googl cuba agre work toward improv island connect,28/03/2019,13,0,1,0,0,3,2019,netral
googl announc deal cuba improv connect sourc,26/03/2019,13,0,1,0,0,3,2019,netral
googl rival want detail googl android propos,22/03/2019,12,0,0.822,0.178,0.0772,3,2019,positif
video game compani mix midday googl move sector,20/03/2019,12,0,1,0,0,3,2019,netral
stock fedex googl fall premarket gener mill jump,20/03/2019,12,0,1,0,0,3,2019,netral
googl announc browserbas stream game servic,19/03/2019,12,0,1,0,0,3,2019,netral
googl face third eu antitrust fine next week sourc,15/03/2019,11,0,0.816,0.184,0.2023,3,2019,positif
news corp australian arm call googl breakup,12/03/2019,11,0,1,0,0,3,2019,netral
googl cloud hire anoth oracl veteran top role,11/03/2019,11,0,0.795,0.205,0.2023,3,2019,positif
googl plan ban polit ad canada elect,04/03/2019,10,0.375,0.625,0,-0.5574,3,2019,negatif
stock move hour salesforcecom googl arcosa floor decor,04/03/2019,10,0,1,0,0,3,2019,netral
googl worker support propos us law curb mandatori arbitr,28/02/2019,9,0,0.748,0.252,0.4019,2,2019,positif
exclus india watchdog probe accus googl abus android sourc,12/02/2019,7,0,1,0,0,2,2019,netral
india antitrust watchdog investig googl,12/02/2019,7,0,1,0,0,2,2019,netral
googl hire chip engin india,11/02/2019,7,0,1,0,0,2,2019,netral
googl extend chipmak effort design hub bengaluru,11/02/2019,7,0,0.779,0.221,0.1779,2,2019,positif
stock move hour seagat stmicroelectron googl legg mason,04/02/2019,6,0,1,0,0,2,2019,netral
techcrunch googl app may violat appl polici like facebook,30/01/2019,5,0,0.762,0.238,0.3612,1,2019,positif
googl facebook twitter must fake news eu,29/01/2019,5,0.341,0.659,0,-0.4767,1,2019,negatif
ad exchang openx commit million googl cloud deal,24/01/2019,4,0,0.761,0.239,0.296,1,2019,positif
googl facebook spend big us lobbi amid polici battl,22/01/2019,4,0,1,0,0,1,2019,netral
franc fine googl million european privaci rule breach,21/01/2019,4,0,0.795,0.205,0.2023,1,2019,positif
immers googl haptic deal,03/01/2019,1,0,1,0,0,1,2019,netral
epic game take appl googl,31/12/2018,1,0,1,0,0,12,2018,netral
yelp consum watchdog lose googl intervent bid,18/12/2018,51,0.31,0.69,0,-0.4019,12,2018,negatif
googl ai briefli broadcast bitcoin btc collaps bubbl,17/12/2018,51,0,1,0,0,12,2018,netral
googl plan launch chines search engin ceo,11/12/2018,50,0,1,0,0,12,2018,netral
googl ceo face first congression hear,11/12/2018,50,0,1,0,0,12,2018,netral
googl ceo testifi hous committe updat,11/12/2018,50,0,1,0,0,12,2018,netral
googl ceo defend integr product ahead testimoni,10/12/2018,50,0,1,0,0,12,2018,netral
top us gener urg googl work militari,06/12/2018,49,0,0.769,0.231,0.2023,12,2018,positif
us hous panel reschedul googl ceo testimoni dec,04/12/2018,49,0,1,0,0,12,2018,netral
us hous panel set googl ceo hear decemb,28/11/2018,48,0,1,0,0,11,2018,netral
four fake cryptocurr wallet found googl play store,14/11/2018,46,0.27,0.522,0.209,-0.1779,11,2018,negatif
bitcoin scam hack googl g suit twitter account,14/11/2018,46,0.381,0.619,0,-0.5719,11,2018,negatif
deepmind partial shift googl health,13/11/2018,46,0,1,0,0,11,2018,netral
nigerian firm take blame rout googl traffic china,13/11/2018,46,0.255,0.745,0,-0.34,11,2018,negatif
googl hear protest chang sexual harass polici,08/11/2018,45,0.51,0.49,0,-0.6369,11,2018,negatif
blockchain technolog underr exgoogl ceo,08/11/2018,45,0,1,0,0,11,2018,netral
eu vestag say probe googl adsens case near end,07/11/2018,45,0,1,0,0,11,2018,netral
report googl tencent jdcom invest indonesian ridehail,29/10/2018,44,0,1,0,0,10,2018,netral
stock us futur slump disappoint googl amazon earn,26/10/2018,43,0.26,0.577,0.163,-0.25,10,2018,negatif
stock amazon googl snap plung premarket mattel gain,26/10/2018,43,0,0.541,0.459,0.6249,10,2018,positif
stock amazon googl push dow lower,26/10/2018,43,0.278,0.506,0.215,-0.128,10,2018,negatif
googl charg smartphon maker googl play europ,16/10/2018,42,0,0.714,0.286,0.34,10,2018,positif
googl confirm chines censor search app,16/10/2018,42,0.375,0.625,0,-0.4588,10,2018,negatif
googl latest withdraw saudi confer,15/10/2018,42,0,1,0,0,10,2018,netral
googl ad say cryptocurr isnt real take swing mine,11/10/2018,41,0,1,0,0,10,2018,netral
us european regul investig googl glitch,10/10/2018,41,0,1,0,0,10,2018,netral
googl challeng record billion eu antitrust fine,09/10/2018,41,0,0.769,0.231,0.2023,10,2018,positif
franc ask googl pull photo helicopt jailbreak,09/10/2018,41,0,1,0,0,10,2018,netral
alphabet shut googl social site user data expos,09/10/2018,41,0,1,0,0,10,2018,netral
market puls googl lead tech stock,08/10/2018,41,0,1,0,0,10,2018,netral
googl show progress address competit concern say eu vestag,05/10/2018,40,0,0.741,0.259,0.4215,10,2018,positif
trump meet googl tech execut kudlow,02/10/2018,40,0,1,0,0,10,2018,netral
googl ceo meet lawmak amid republican critic,27/09/2018,39,0.259,0.741,0,-0.2732,9,2018,negatif
bitcoin fall despit googl lift partial ban ad,26/09/2018,39,0.34,0.66,0,-0.5574,9,2018,negatif
bitcoin gain ground googl partial revers crypto ban,26/09/2018,39,0.277,0.462,0.262,-0.0516,9,2018,negatif
googl end partial cryptocurr ban us japan,25/09/2018,39,0.375,0.625,0,-0.5574,9,2018,negatif
googl allow certain cryptocurr ad us japan,25/09/2018,39,0,0.556,0.444,0.4588,9,2018,positif
turkey fine googl violat competit law,20/09/2018,38,0,0.735,0.265,0.2023,9,2018,positif
googl defend gmail data share give detail violat,20/09/2018,38,0,0.761,0.239,0.296,9,2018,positif
stock appl gain premarket facebook googl fall nielsen jump,12/09/2018,37,0,0.702,0.298,0.5267,9,2018,positif
googl pull russian opposit leader youtub advert ahead vote,08/09/2018,36,0,1,0,0,9,2018,netral
republican senat want ftc investig googl,30/08/2018,35,0,0.794,0.206,0.0772,8,2018,positif
white hous investig googl trump accus bia,28/08/2018,35,0,1,0,0,8,2018,netral
stock tiffani jump premarket best buy slide googl starbuck slip,28/08/2018,35,0,0.682,0.318,0.6369,8,2018,positif
factbox trump twitter aug googl trump news,28/08/2018,35,0,1,0,0,8,2018,netral
stock appl hit alltim high googl amid trump tweet midday,28/08/2018,35,0,1,0,0,8,2018,netral
googl remov sever blog youtub account link iran,23/08/2018,34,0,1,0,0,8,2018,netral
lawsuit say googl track phone user regardless privaci set,20/08/2018,34,0.192,0.808,0,-0.2263,8,2018,negatif
despit mine ban mine app appear googl play,18/08/2018,33,0.3,0.5,0.2,-0.296,8,2018,negatif
googl employe demand oversight china search engin plan,16/08/2018,33,0.176,0.824,0,-0.128,8,2018,negatif
googl provid data us polit advertis,15/08/2018,33,0,1,0,0,8,2018,netral
wsj googl woo partner potenti china expans,13/08/2018,33,0,0.659,0.341,0.4767,8,2018,positif
tencent climb amid report googl partnership,06/08/2018,32,0,1,0,0,8,2018,netral
stock appl campbel soup jump premarket tesla googl gain,01/08/2018,31,0,0.702,0.298,0.5267,8,2018,positif
intercept googl plan censor search china baidu,01/08/2018,31,0.333,0.667,0,-0.4588,8,2018,negatif
bitcoin slip googl ban crypto mine android play store,29/07/2018,30,0.277,0.538,0.185,-0.296,7,2018,negatif
top thing know market tuesday googl harley att,24/07/2018,30,0,0.795,0.205,0.2023,7,2018,positif
googl add three altcoin price search result,24/07/2018,30,0,1,0,0,7,2018,netral
stock googl lead tech charg midday facebook paypal gain,24/07/2018,30,0,0.702,0.298,0.5267,7,2018,positif
stock us futur rise strong googl earn boost tech sector,24/07/2018,30,0,0.571,0.429,0.7184,7,2018,positif
top thing know market monday trump iran googl,23/07/2018,30,0,0.795,0.205,0.2023,7,2018,positif
alphabet trounc profit estim googl rein cost,23/07/2018,30,0,0.674,0.326,0.4404,7,2018,positif
stock dow close modestli lower googl q earn top estim,23/07/2018,30,0.2,0.636,0.164,-0.1027,7,2018,negatif
stock micron sink midday googl ahead earn,23/07/2018,30,0,1,0,0,7,2018,netral
trump slam eu billion fine googl,19/07/2018,29,0.31,0.476,0.214,-0.2023,7,2018,negatif
eu order googl open new door mobil industri,18/07/2018,29,0,1,0,0,7,2018,netral
stock morgan stanley csx unit jump premarket googl drop,18/07/2018,29,0.208,0.792,0,-0.2732,7,2018,negatif
stock comcast googl tesla wd fall premarket,11/07/2018,28,0,0.619,0.381,0.5719,7,2018,positif
russia world cup googl translat break languag barrier,05/07/2018,27,0.176,0.824,0,-0.128,7,2018,negatif
instagram lite goe live googl play,28/06/2018,26,0,0.676,0.324,0.34,6,2018,positif
googl retir doubleclick adword brand name,27/06/2018,26,0,1,0,0,6,2018,netral
eu see sign improv googl antitrust shop case,18/06/2018,25,0,1,0,0,6,2018,netral
bitcoin search spike googl trend,14/06/2018,24,0,1,0,0,6,2018,netral
googl bar use artifici intellig tech weapon,07/06/2018,23,0.268,0.732,0,-0.296,6,2018,negatif
washington state sue facebook googl elect ad disclosur,04/06/2018,23,0,1,0,0,6,2018,netral
googl launch second app china woo top smartphon market,30/05/2018,22,0,0.588,0.412,0.5994,5,2018,positif
googl eas tech stress app control tablebook assist,08/05/2018,19,0.286,0.714,0,-0.4215,5,2018,negatif
us top court turn away googl fight busi patent,30/04/2018,18,0.228,0.614,0.158,-0.2023,4,2018,negatif
googl launch nvidia tesla v gpu cloud,30/04/2018,18,0,1,0,0,4,2018,netral
googl overhaul gmail lure busi away microsoft,25/04/2018,17,0,1,0,0,4,2018,netral
googleown alphabet share fall rise cost,24/04/2018,17,0,0.694,0.306,0.296,4,2018,positif
googlepar alphabet slide earn,24/04/2018,17,0,1,0,0,4,2018,netral
exclus googl unveil vet process drug rehab ad,16/04/2018,16,0,1,0,0,4,2018,netral
exgoogl employe form blockchain innov commun ex googler,16/04/2018,16,0,1,0,0,4,2018,netral
googl talk buy nokia airplan broadband busi bloomberg,10/04/2018,15,0,1,0,0,4,2018,netral
googl appeal indian antitrust watchdog search bia verdict sourc,10/04/2018,15,0,0.833,0.167,0.1531,4,2018,positif
bitcoin gain googl ban crypto mine extens,03/04/2018,14,0.3,0.417,0.283,-0.0516,4,2018,negatif
appeal court reviv oracl billiondollar copyright claim googl,27/03/2018,13,0,1,0,0,3,2018,netral
googl defeat lawsuit claim youtub censor conserv,27/03/2018,13,0.664,0.336,0,-0.7845,3,2018,negatif
appeal court decis reignit oracl v googl,27/03/2018,13,0,1,0,0,3,2018,netral
googl acquir gif platform tenor,27/03/2018,13,0,1,0,0,3,2018,netral
googl develop blockchain tech insid say,23/03/2018,12,0,1,0,0,3,2018,netral
feder servic provid csra partner googl cloud,22/03/2018,12,0,1,0,0,3,2018,netral
googl launch news initi combat fake news,20/03/2018,12,0.524,0.476,0,-0.6705,3,2018,negatif
googl court game develop expand servic lineup,19/03/2018,12,0,0.723,0.277,0.3182,3,2018,positif
crypto eas back still lower amid googl ban regul talk,15/03/2018,11,0.42,0.58,0,-0.7003,3,2018,negatif
googl airbnb add new access featur,15/03/2018,11,0,1,0,0,3,2018,netral
googl ban weigh cryptocurr,14/03/2018,11,0.545,0.455,0,-0.5574,3,2018,negatif
googl ban cryptocurr advertis bitcoin price slump,14/03/2018,11,0.375,0.625,0,-0.5574,3,2018,negatif
franc sue googl appl develop contract minist,14/03/2018,11,0,1,0,0,3,2018,netral
bitcoin continu slide googl ban cryptorel advertis,14/03/2018,11,0.375,0.625,0,-0.5574,3,2018,negatif
googl defeat zombi go boom adpocalyps lawsuit,08/03/2018,10,0.495,0.505,0,-0.5994,3,2018,negatif
googl map let busi promot womenl,07/03/2018,10,0,1,0,0,3,2018,netral
franc may probe googl facebook onlin ad domin,06/03/2018,10,0,1,0,0,3,2018,netral
nyt googl sell zagat,05/03/2018,10,0,1,0,0,3,2018,netral
nonprofit scrambl compli new googl ad polici,01/03/2018,9,0,1,0,0,3,2018,netral
googl rival go eu antitrust regul googl talk startup hous,28/02/2018,9,0,1,0,0,2,2018,netral
googl launch slack competitor hangout chat,28/02/2018,9,0,1,0,0,2,2018,netral
googl launch machin learningback ad unit,21/02/2018,8,0,1,0,0,2,2018,netral
googl roll googl pay,20/02/2018,8,0.318,0.682,0,-0.1027,2,2018,negatif
googl rais price youtub tv add sport turner,14/02/2018,7,0,1,0,0,2,2018,netral
googl debut email automat updat,13/02/2018,7,0,1,0,0,2,2018,netral
googl launch version snapchat stori,13/02/2018,7,0,1,0,0,2,2018,netral
india antitrust watchdog fine googl abus domin posit,08/02/2018,6,0,0.795,0.205,0.2023,2,2018,positif
alphabet shift thermostat maker nest googl,07/02/2018,6,0,1,0,0,2,2018,netral
googl eye game yeti stream servic report,07/02/2018,6,0,1,0,0,2,2018,netral
playstat xbox vet phil harrison join googl,23/01/2018,4,0,0.732,0.268,0.296,1,2018,positif
googl start sell audiobook take amazon,23/01/2018,4,0,0.746,0.254,0.1779,1,2018,positif
googl get audiobook rivalri amazon heat,23/01/2018,4,0,0.746,0.254,0.1779,1,2018,positif
former xbox exec phil harrison join googl hardwar unit,23/01/2018,4,0,0.784,0.216,0.296,1,2018,positif
facebook googl promis ai spend pari,22/01/2018,4,0,1,0,0,1,2018,netral
china push googl announc deal tencent,19/01/2018,3,0,1,0,0,1,2018,netral
googl announc patent agreement tencent amid china push,18/01/2018,3,0,0.686,0.314,0.4939,1,2018,positif
googl remov game app popup porn malwar,12/01/2018,2,0,1,0,0,1,2018,netral
googl acquir speaker tech startup last year,11/01/2018,2,0,1,0,0,1,2018,netral
alphabet googl explor sale restaur review zagat sourc,03/01/2018,1,0,1,0,0,1,2018,netral
amazon googl cut speaker price market share contest analyst,03/01/2018,1,0.175,0.5,0.325,0.2023,1,2018,positif
econom time googl plan physic store india,26/12/2017,52,0,1,0,0,12,2017,netral
googl crunch data help nasa find two new planet,14/12/2017,50,0,0.748,0.252,0.4019,12,2017,positif
amazon start sell appl tv googl chromecast,14/12/2017,50,0,0.779,0.221,0.1779,12,2017,positif
googl launch artifici intellig research center china,13/12/2017,50,0,1,0,0,12,2017,netral
