text,date,week,neg,neu,pos,compound,month,year,sentimen
googl reclaim topreferr spot facebook,11/12/2017,50,0,1,0,0,12,2017,netral
googl pull youtub amazon devic escal spat,05/12/2017,49,0,0.779,0.221,0.1779,12,2017,positif
googl add financ tab search filter revamp googl financ,28/11/2017,48,0,1,0,0,11,2017,netral
googl seek defus row russia websit rank,27/11/2017,48,0,1,0,0,11,2017,netral
russia say googl downrank sputnik rt would censorship,23/11/2017,47,0,1,0,0,11,2017,netral
googl cut price comput engin gpu,20/11/2017,47,0.296,0.704,0,-0.2732,11,2017,negatif
googl buy plot near appl plan danish data center,17/11/2017,46,0,1,0,0,11,2017,netral
case googl come eu commission say,15/11/2017,46,0,1,0,0,11,2017,netral
googl broaden takedown extremist youtub video,13/11/2017,46,0,1,0,0,11,2017,netral
googl face antitrust investig missouri,13/11/2017,46,0,1,0,0,11,2017,netral
latest cloud pal salesforc googl,07/11/2017,45,0,1,0,0,11,2017,netral
googl shut airfar data feed muddi water want googl id,01/11/2017,44,0,0.874,0.126,0.0772,11,2017,positif
googl launch k hangout meet kit new googl cloud offer,31/10/2017,44,0,1,0,0,10,2017,netral
ryanair googl edream reach settlement advertis,19/10/2017,42,0,0.82,0.18,0.0258,10,2017,positif
gopro share googl launch event,04/10/2017,40,0,0.645,0.355,0.296,10,2017,positif
googl launch new phone speaker hardwar push,04/10/2017,40,0,1,0,0,10,2017,netral
googl reach news publish,02/10/2017,40,0,0.732,0.268,0.0258,10,2017,positif
googl compet echo show,29/09/2017,39,0,1,0,0,9,2017,netral
googl readi premium googl home model,27/09/2017,39,0,1,0,0,9,2017,netral
bose headphon googl assist launch today,21/09/2017,38,0,1,0,0,9,2017,netral
htc might announc sale googl tomorrow,20/09/2017,38,0,1,0,0,9,2017,netral
googl close buy smartphon maker htc asset bloomberg,20/09/2017,38,0,0.737,0.263,0.3612,9,2017,positif
googl pixelbook detail leak price start,19/09/2017,38,0.324,0.676,0,-0.34,9,2017,negatif
leak confirm googl home mini,19/09/2017,38,0.375,0.625,0,-0.34,9,2017,negatif
googl launch digit payment servic india,18/09/2017,38,0,1,0,0,9,2017,netral
googl disabl offens ad keyword found buzzfe,15/09/2017,37,0,1,0,0,9,2017,netral
googl launch mobil payment servic india report,14/09/2017,37,0,1,0,0,9,2017,netral
googl challeng record eu antitrust fine court,11/09/2017,37,0,0.769,0.231,0.2023,9,2017,positif
googl sign russian ad propaganda,08/09/2017,36,0.333,0.667,0,-0.25,9,2017,negatif
alexa alli cortana take googl assist siri,30/08/2017,35,0,1,0,0,8,2017,netral
googl launch preview arkit competitor youtub get redesign,29/08/2017,35,0,1,0,0,8,2017,netral
googl appl face augment realiti technolog,29/08/2017,35,0,1,0,0,8,2017,netral
walmart enter voiceshop market via googl platform,23/08/2017,34,0,1,0,0,8,2017,netral
googl tout titan secur chip market cloud servic,22/08/2017,34,0.176,0.824,0,-0.128,8,2017,negatif
lithuanian man plead guilti defraud facebook googl,17/08/2017,33,0,1,0,0,8,2017,netral
googl buy fabbi develop aimatt,17/08/2017,33,0,1,0,0,8,2017,netral
googl acquir medic app startup,15/08/2017,33,0,1,0,0,8,2017,netral
googl announc updat cloud speech api,14/08/2017,33,0,1,0,0,8,2017,netral
googl fire employe behind antidivers memo,08/08/2017,32,0.324,0.676,0,-0.34,8,2017,negatif
googl work indonesia tackl content deem offens,04/08/2017,31,0,1,0,0,8,2017,netral
googl test publish tech similar snapchat sourc,04/08/2017,31,0,1,0,0,8,2017,netral
googl facebook show power ad duopoli rival stumbl,28/07/2017,30,0,1,0,0,7,2017,netral
microsoft announc cloud contain tool take googl,26/07/2017,30,0,1,0,0,7,2017,netral
googl canada head exit compani name interim head,25/07/2017,30,0,1,0,0,7,2017,netral
alphabet appoint googl ceo pichai board,24/07/2017,30,0,1,0,0,7,2017,netral
franc readi negoti googl back tax minist,24/07/2017,30,0,1,0,0,7,2017,netral
french govern appeal progoogl court tax rule,13/07/2017,28,0,1,0,0,7,2017,netral
uber want partner googl want page deposit,07/07/2017,27,0,0.611,0.389,0.2928,7,2017,positif
googl say servic disrupt issu resolv,06/07/2017,27,0,1,0,0,7,2017,netral
googl start get norwegian wind power septemb,05/07/2017,27,0,1,0,0,7,2017,netral
appl googl help htc vr busi move forward,28/06/2017,26,0,0.722,0.278,0.4019,6,2017,positif
eu deal googl could learn erstwhil rival,28/06/2017,26,0,1,0,0,6,2017,netral
canada top court rule googl must block result worldwid,28/06/2017,26,0.248,0.598,0.154,-0.2732,6,2017,negatif
us stock futur lower googl hit record fine yellen ahead,27/06/2017,26,0.183,0.667,0.15,-0.1027,6,2017,negatif
eu fine googl record billion first antitrust case,27/06/2017,26,0,0.795,0.205,0.2023,6,2017,positif
us stock struggl googl fine imf gdp forecast yellen tap,27/06/2017,26,0,0.833,0.167,0.2023,6,2017,positif
europ fine googl record billion abus market domin,27/06/2017,26,0,0.795,0.205,0.2023,6,2017,positif
googl push framework law enforc access oversea data,22/06/2017,25,0,1,0,0,6,2017,netral
googl press us govern foreign data request,22/06/2017,25,0,1,0,0,6,2017,netral
googl launch new vr format vr,22/06/2017,25,0,1,0,0,6,2017,netral
googl roll googl job,20/06/2017,25,0,1,0,0,6,2017,netral
googl tighten measur remov extremist content youtub,18/06/2017,24,0,1,0,0,6,2017,netral
french court advisor say googl liabl back tax,14/06/2017,24,0,1,0,0,6,2017,netral
varieti googl hire appl chip architect pixel phone,13/06/2017,24,0,1,0,0,6,2017,netral
googl reportedli launch chrome adblock,01/06/2017,22,0,1,0,0,6,2017,netral
vietnam say googl cooper remov toxic content,26/05/2017,21,0,1,0,0,5,2017,netral
googl ai beat chines master ancient game go,23/05/2017,21,0,1,0,0,5,2017,netral
googl shift mobil focu app digit assist,17/05/2017,20,0,1,0,0,5,2017,netral
googl unveil new ad polici,15/05/2017,20,0,1,0,0,5,2017,netral
german court refer publish case vs googl european court,09/05/2017,19,0,1,0,0,5,2017,netral
googl pay million settl italian tax disput,04/05/2017,18,0.189,0.811,0,-0.1027,5,2017,negatif
spam campaign target googl user malici link,03/05/2017,18,0.294,0.706,0,-0.3612,5,2017,negatif
googl success us school forc microsoft appl scrambl,02/05/2017,18,0,0.654,0.346,0.5719,5,2017,positif
googl allow user share locat map app,22/03/2017,12,0,0.549,0.451,0.4767,3,2017,positif
googl revamp polici hire staff uk ad scandal,21/03/2017,12,0.293,0.707,0,-0.4404,3,2017,negatif
uk question googl advertis appear alongsid extremist video,17/03/2017,11,0,1,0,0,3,2017,netral
us judg reject googl email scan settlement,16/03/2017,11,0.31,0.69,0,-0.4019,3,2017,negatif
googl back ukbas payment compani currencycloud,09/03/2017,10,0,1,0,0,3,2017,netral
googl tout new cloud comput client analyst skeptic,08/03/2017,10,0.362,0.638,0,-0.34,3,2017,negatif
sap offer busi app googl cloud,08/03/2017,10,0,1,0,0,3,2017,netral
googl foe take android complaint regul,07/03/2017,10,0.56,0.44,0,-0.6249,3,2017,negatif
turkey competit board open investig googl,06/03/2017,10,0,1,0,0,3,2017,netral
googl sell satellit imag busi terra bella planet lab,03/02/2017,5,0,1,0,0,2,2017,netral
third global consum open googl amazon bank survey,11/01/2017,2,0,0.805,0.195,0.1779,1,2017,positif
googl show improv selfdriv system chrysler pacifica,08/01/2017,1,0,1,0,0,1,2017,netral
googl push virtual realiti harder new phone partner,05/01/2017,1,0,1,0,0,1,2017,netral
franc constitut council rule googl tax,29/12/2016,52,0,1,0,0,12,2016,netral
lawsuit accus googl illeg curb employe commun,21/12/2016,51,0.241,0.759,0,-0.2263,12,2016,negatif
googl sign internet deal cuba telecommun monopoli,13/12/2016,50,0,1,0,0,12,2016,netral
googl intel form enterpris cloud allianc,17/11/2016,46,0,1,0,0,11,2016,netral
googl facebook move restrict ad fake news site,17/11/2016,46,0.487,0.513,0,-0.6908,11,2016,negatif
googl obama alli may face polici setback trump,17/11/2016,46,0,1,0,0,11,2016,netral
googl ceo meet european commiss brussel,16/11/2016,46,0,1,0,0,11,2016,netral
googl ceo meet eu antitrust chief friday,16/11/2016,46,0,1,0,0,11,2016,netral
baird note googl distinct among artificiallyintellig cloud contend,16/11/2016,46,0,0.854,0.146,0.0516,11,2016,positif
googl bolster attent ai cloud synergi,15/11/2016,46,0,1,0,0,11,2016,netral
googl say expand oper london,15/11/2016,46,0,0.635,0.365,0.3182,11,2016,positif
googl announc artifici intellig group googl cloud,15/11/2016,46,0,1,0,0,11,2016,netral
googl reject eu antitrust charg android,11/11/2016,45,0.351,0.649,0,-0.4019,11,2016,negatif
googl lawyer say android help rather harm competit,10/11/2016,45,0.287,0.492,0.221,-0.2023,11,2016,negatif
alphabet googl move upgrad app store,03/11/2016,44,0,1,0,0,11,2016,netral
googl formal reject eu antitrust charg,03/11/2016,44,0.351,0.649,0,-0.4019,11,2016,negatif
googl parent alphabet profit surg mobil video ad,27/10/2016,43,0,0.707,0.293,0.4404,10,2016,positif
thai junta say googl remov content royal insult,22/10/2016,42,0.32,0.68,0,-0.5106,10,2016,negatif
googl automak object california rule selfdriv car,20/10/2016,42,0,1,0,0,10,2016,netral
googl buy digit market compani famebit,11/10/2016,41,0,1,0,0,10,2016,netral
googl start big advertis push around new pixel phone,07/10/2016,40,0,1,0,0,10,2016,netral
twitter jump potenti googl bid report,03/10/2016,40,0,1,0,0,10,2016,netral
googl rebrand cloud busi add artifici intellig,30/09/2016,39,0,1,0,0,9,2016,netral
googl launch servic take internet india mall cafe,27/09/2016,39,0,1,0,0,9,2016,netral
japan govern advisori panel say appl googl hinder app competit,15/09/2016,37,0,1,0,0,9,2016,netral
googl franc boss say look insur partner,13/09/2016,37,0,1,0,0,9,2016,netral
googl expand nascent rideshar servic wsj,31/08/2016,35,0,0.685,0.315,0.3182,8,2016,positif
googl hire airbnb exec commerci selfdriv car,28/08/2016,34,0,1,0,0,8,2016,netral
googl execut quit selfdriv car project,05/08/2016,31,0,1,0,0,8,2016,netral
weekli comic appl googl facebook take world,28/07/2016,30,0,1,0,0,7,2016,netral
south korea probe googl anticompetit behavior yonhap,21/07/2016,29,0,1,0,0,7,2016,netral
spanish author raid googl offic tax,30/06/2016,26,0,1,0,0,6,2016,netral
eu regul readi third googl antitrust charg sourc,28/06/2016,26,0,1,0,0,6,2016,netral
german publish appeal decis market power case googl,27/06/2016,26,0,1,0,0,6,2016,netral
russian watchdog say discuss settlement googl yet,09/06/2016,23,0,1,0,0,6,2016,netral
russian watchdog discuss court settlement googl ifax,08/06/2016,23,0,1,0,0,6,2016,netral
russian watchdog put decis googl fine,31/05/2016,22,0,0.735,0.265,0.2023,5,2016,positif
investig raid googl pari hq tax evas inquiri,24/05/2016,21,0,1,0,0,5,2016,netral
googl appeal french order global right forgotten,19/05/2016,20,0.241,0.759,0,-0.2263,5,2016,negatif
googl doubl artifici intellig home allo,18/05/2016,20,0,1,0,0,5,2016,netral
oracl coceo say googl caus oracl revenu plummet,18/05/2016,20,0,1,0,0,5,2016,netral
googl say payday lender ad,11/05/2016,19,0,1,0,0,5,2016,netral
ftc take second look googl search politico,11/05/2016,19,0,1,0,0,5,2016,netral
googl oracl compet innov label android retrial,10/05/2016,19,0,1,0,0,5,2016,netral
googl fiat chrysler team selfdriv minivan,04/05/2016,18,0,1,0,0,5,2016,netral
microsoft googl agre drop complaint,22/04/2016,16,0.589,0.411,0,-0.5106,4,2016,negatif
eu hit googl second antitrust charg,20/04/2016,16,0,1,0,0,4,2016,netral
googl expand selfdriv vehicl test phoenix arizona,07/04/2016,14,0,0.723,0.277,0.3182,4,2016,positif
appl googl routin ask help govern access devic aclu,30/03/2016,13,0,0.748,0.252,0.4019,3,2016,positif
googl say engin work unicef map zika,03/03/2016,9,0,1,0,0,3,2016,netral
googl fiber video subscrib growth surg percent,03/03/2016,9,0,0.698,0.302,0.3818,3,2016,positif
insur find googl potenti rival report,01/03/2016,9,0,1,0,0,3,2016,netral
uk lawmak dismiss googl tax deal small,24/02/2016,8,0,1,0,0,2,2016,netral
googl shutter googl compar wsj,23/02/2016,8,0,1,0,0,2,2016,netral
german court reject suit publish googl,19/02/2016,7,0.351,0.649,0,-0.4019,2,2016,negatif
googl say particip us airwav auction,12/02/2016,6,0,1,0,0,2,2016,netral
uk lawmak tell googl come clean tax,11/02/2016,6,0,0.69,0.31,0.4019,2,2016,positif
googl selfdriv car effort expand hire post manufactur job,11/02/2016,6,0,0.777,0.223,0.3182,2,2016,positif
googl expand selfdriv car test washington state,03/02/2016,5,0,0.723,0.277,0.3182,2,2016,positif
alphabet chang result format separ googl bet,28/01/2016,4,0,1,0,0,1,2016,netral
googl ship five million cardboard virtual realiti devic,27/01/2016,4,0,1,0,0,1,2016,netral
googl selfdriv exec say need propos share research,14/01/2016,2,0,0.761,0.239,0.296,1,2016,positif
german publish file complaint googl vg media,05/01/2016,1,0.268,0.732,0,-0.296,1,2016,negatif
googl ford talk selfdriv car partnership sourc,22/12/2015,52,0,1,0,0,12,2015,netral
googl aim china launch googl play app store next year sourc,20/11/2015,47,0,0.806,0.194,0.34,11,2015,positif
googl contest russia antitrust rule android,17/11/2015,47,0,1,0,0,11,2015,netral
end googl antitrust case still open eu vestag,04/11/2015,45,0,1,0,0,11,2015,netral
lufthansa sign googl flight deal boost websit book,04/11/2015,45,0,0.722,0.278,0.4019,11,2015,positif
flipkart hire googl execut head consum experi,03/11/2015,45,0,1,0,0,11,2015,netral
alphabet googl announc deal indonesian telecom web access,28/10/2015,44,0,1,0,0,10,2015,netral
mediaset strike digit content deal googl,21/10/2015,43,0.231,0.769,0,-0.128,10,2015,negatif
googl say doc drive disrupt resolv,09/10/2015,41,0,1,0,0,10,2015,netral
googl test mobil instant publish servic rival facebook appl,07/10/2015,41,0,1,0,0,10,2015,netral
bye bye googl hello alphabet,02/10/2015,40,0,1,0,0,10,2015,netral
googl unveil latest nexu phone first android tablet,29/09/2015,40,0,1,0,0,9,2015,netral
googl face renew us antitrust scrutini time android,25/09/2015,39,0,1,0,0,9,2015,netral
franc reject googl appeal clean search result global,21/09/2015,39,0.237,0.526,0.237,0,9,2015,netral
googl hire truecar krafcik head driverless car unit,14/09/2015,38,0,1,0,0,9,2015,netral
russian watchdog say googl violat competit law,14/09/2015,38,0,1,0,0,9,2015,netral
googl hope reenter china fall tech websit,07/09/2015,37,0,0.674,0.326,0.4404,9,2015,positif
googl run shadi domain studi author say,04/09/2015,36,0,1,0,0,9,2015,netral
russia mt team googl promot mobil internet,28/08/2015,35,0,1,0,0,8,2015,netral
googl reject unfound eu antitrust charg market abus,27/08/2015,35,0.278,0.722,0,-0.4019,8,2015,negatif
googl launch wifi router home use,18/08/2015,34,0,1,0,0,8,2015,netral
googl limelight xyz ceo rule sale,17/08/2015,34,0,1,0,0,8,2015,netral
googl morph alphabet investor cheer clariti,11/08/2015,33,0,0.602,0.398,0.5106,8,2015,positif
us premarket top mover day googl symantec shake shack,11/08/2015,33,0.162,0.667,0.171,0.0258,8,2015,positif
googl overhaul sharehold friendli detail scarc,11/08/2015,33,0,1,0,0,8,2015,netral
everyth need know googl ahead open,11/08/2015,33,0,1,0,0,8,2015,netral
ecommerc websit etsi share soar googl mention,17/07/2015,29,0,0.732,0.268,0.296,7,2015,positif
googl propel nasdaq anoth record high close,17/07/2015,29,0,1,0,0,7,2015,netral
googl gain billion valu youtub drive ad growth,17/07/2015,29,0,0.5,0.5,0.7184,7,2015,positif
googl ralli profit beat forecast ad revenu growth,16/07/2015,29,0,0.522,0.478,0.6705,7,2015,positif
googl start road test new selfdriv car prototyp,25/06/2015,26,0,1,0,0,6,2015,netral
getti imag take googl grievanc eu antitrust regul,23/06/2015,26,0,1,0,0,6,2015,netral
googl launch youtub built gamer,12/06/2015,24,0,1,0,0,6,2015,netral
three googl director surviv challeng pay,03/06/2015,23,0.219,0.781,0,-0.1027,6,2015,negatif
privaci app maker file eu antitrust complaint googl,02/06/2015,23,0.239,0.761,0,-0.296,6,2015,negatif
googl demand movi studio compli subpoena,02/06/2015,23,0.231,0.769,0,-0.128,6,2015,negatif
googl increas user privaci control,01/06/2015,23,0,1,0,0,6,2015,netral
fingerprint card share record googl tieup,29/05/2015,22,0,0.694,0.306,0.296,5,2015,positif
googl launch portal buy patent,27/04/2015,18,0,1,0,0,4,2015,netral
googl share rise onlin ad sale drive revenu higher,23/04/2015,17,0,0.784,0.216,0.296,4,2015,positif
googl roll new us wireless servic,22/04/2015,17,0,1,0,0,4,2015,netral
eu googl probe encourag investor russia competitor yandex,21/04/2015,17,0,1,0,0,4,2015,netral
yahoo facebook share outperform googl frankfurt,16/04/2015,16,0,0.694,0.306,0.296,4,2015,positif
eu announc antitrust move googl wednesday paper,14/04/2015,16,0,1,0,0,4,2015,netral
googl malaysia servic disrupt hacker,14/04/2015,16,0,1,0,0,4,2015,netral
court question googl patent valu microsoft case,09/04/2015,15,0,1,0,0,4,2015,netral
hillari clinton hire googl execut tech chief,08/04/2015,15,0,1,0,0,4,2015,netral
china internet author denounc googl certif reject,02/04/2015,14,0.31,0.69,0,-0.4019,4,2015,negatif
googl pay cfo porat million,27/03/2015,13,0.259,0.741,0,-0.1027,3,2015,negatif
googl poach morgan stanley cfo,24/03/2015,13,0,1,0,0,3,2015,netral
indian firm could get boost googl alibaba,11/03/2015,11,0,0.69,0.31,0.4019,3,2015,positif
googl talk buy indian startup inmobi sourc,11/03/2015,11,0,1,0,0,3,2015,netral
googl cfo retir leav spreadsheet backpack,10/03/2015,11,0,1,0,0,3,2015,netral
report googl cfo patrick pichett plan retir compani,10/03/2015,11,0,1,0,0,3,2015,netral
googl show ad app googl play,26/02/2015,9,0,0.676,0.324,0.34,2,2015,positif
googl combin european unit amid tougher rule ft,25/02/2015,9,0,0.805,0.195,0.1779,2,2015,positif
googl investig itali tax issu prosecutor,25/02/2015,9,0,1,0,0,2,2015,netral
blackberri work googl secur android devic,25/02/2015,9,0,1,0,0,2,2015,netral
russian competit watchdog open case googl,20/02/2015,8,0,1,0,0,2,2015,netral
appl googl deal show renew sector strength,12/02/2015,7,0,0.652,0.348,0.4939,2,2015,positif
twitter googl strike deal show tweet search result bloomberg,05/02/2015,6,0.158,0.842,0,-0.128,2,2015,negatif
googl new fcc rule may bring unfamiliar govern oversight,05/02/2015,6,0,1,0,0,2,2015,netral
googl prepar launch ridehail servic bloomberg,02/02/2015,6,0,1,0,0,2,2015,netral
googl fourthquart revenu miss wall street target,29/01/2015,5,0.211,0.789,0,-0.1531,1,2015,negatif
mexico say may sanction googl data protect breach,27/01/2015,5,0,0.729,0.271,0.3818,1,2015,positif
wikileak blast googl quietli hand email govern,26/01/2015,5,0,0.652,0.348,0.4939,1,2015,positif
googl sell wireless servic deal sprint tmobil inform,21/01/2015,4,0,1,0,0,1,2015,netral
googl viacom win dismiss children web privaci lawsuit,21/01/2015,4,0.162,0.513,0.325,0.4404,1,2015,positif
spacex rais billion fund googl fidel,20/01/2015,4,0,1,0,0,1,2015,netral
googl talk buy mobilepay compani softcard techcrunch,18/01/2015,3,0,1,0,0,1,2015,netral
googl talk buy mobilepay compani softcard techcrunch,16/01/2015,3,0,1,0,0,1,2015,netral
appl googl settl us poach lawsuit million,15/01/2015,3,0.241,0.759,0,-0.2263,1,2015,negatif
googl battl lawsuit max mosley sex parti imag,14/01/2015,3,0.213,0.787,0,-0.2263,1,2015,negatif
appl googl reach new deal end us lawsuit poach,14/01/2015,3,0.19,0.7,0.11,-0.2023,1,2015,negatif
googl partner auto supplier selfdriv car,14/01/2015,3,0,1,0,0,1,2015,netral
microsoft googl tangl window secur patch,12/01/2015,3,0,1,0,0,1,2015,netral
googl gmail block china,29/12/2014,1,0.492,0.508,0,-0.4404,12,2014,negatif
exclus googl aim go straight car next android sourc,18/12/2014,51,0,0.808,0.192,0.2263,12,2014,positif
us judg concern googl antitrust lawsuit vagu,18/12/2014,51,0.241,0.759,0,-0.2263,12,2014,negatif
us judg say concern googl antitrust lawsuit,18/12/2014,51,0.241,0.759,0,-0.2263,12,2014,negatif
exgoogl employe launch app make smarter health fit,15/12/2014,51,0,0.522,0.478,0.6705,12,2014,positif
max sound file patent suit googl youtub germani,12/12/2014,50,0,1,0,0,12,2014,netral
eu vestag meet googl complain come week,11/12/2014,50,0.294,0.706,0,-0.3612,12,2014,negatif
uk googl tax target intercompani payment,09/12/2014,50,0,1,0,0,12,2014,netral
googl pay author scan book us appeal court told,03/12/2014,49,0.149,0.851,0,-0.1027,12,2014,negatif
googl introduc childfriendli version productsusa today,03/12/2014,49,0,1,0,0,12,2014,netral
googl reach outofcourt settlement uk defam case,24/11/2014,48,0,0.845,0.155,0.0258,11,2014,positif
european parliament prepar call googl breakup ft,21/11/2014,47,0,1,0,0,11,2014,netral
yahoo usurp googl firefox search deal,20/11/2014,47,0,1,0,0,11,2014,netral
googl rockstar agre settl patent litig file,20/11/2014,47,0,1,0,0,11,2014,netral
googl launch app store china inform,19/11/2014,47,0,1,0,0,11,2014,netral
googl glass futur cloud earli believ lose faith,14/11/2014,46,0.235,0.522,0.243,0.0258,11,2014,positif
googl doubleclick ad network back outag,12/11/2014,46,0,1,0,0,11,2014,netral
disney cloud movi servic add googl play purchas,04/11/2014,45,0,0.745,0.255,0.34,11,2014,positif
android cofound andi rubin leav googl,31/10/2014,44,0,1,0,0,10,2014,netral
lenovo close billion acquisit motorola unit googl,30/10/2014,44,0,1,0,0,10,2014,netral
eu oetting mull levi googl handelsblatt,28/10/2014,44,0,1,0,0,10,2014,netral
googl commit billion longterm offic leas,23/10/2014,43,0,0.694,0.306,0.296,10,2014,positif
googl bolster artifici intellig effort partner oxford,23/10/2014,43,0,1,0,0,10,2014,netral
googl launch new email servic dub inbox,22/10/2014,43,0,1,0,0,10,2014,netral
googl expand shop deliveri servic us,14/10/2014,42,0,0.685,0.315,0.3182,10,2014,positif
googl launch mobil chat app econom time,03/10/2014,40,0,1,0,0,10,2014,netral
googl threaten lawsuit leak celebr photo ny post,02/10/2014,40,0.58,0.42,0,-0.7096,10,2014,negatif
googl fire back news corp defend search piraci practic,25/09/2014,39,0.231,0.769,0,-0.34,9,2014,negatif
googl select htc upcom nexu tablet wsj,22/09/2014,39,0,1,0,0,9,2014,netral
googl launch android one eye lowpric smartphon boom,15/09/2014,38,0,1,0,0,9,2014,netral
ebay share backtrack dismiss talk googl stake,12/09/2014,37,0,0.732,0.268,0.296,9,2014,positif
eu almunia say wont finish googl probe endoctob,10/09/2014,37,0,1,0,0,9,2014,netral
googl host meet across europ privaci right,08/09/2014,37,0,1,0,0,9,2014,netral
googl start quantum comput research project,05/09/2014,36,0,1,0,0,9,2014,netral
microsoft publish tri stop catastroph googl eu deal,04/09/2014,36,0.239,0.761,0,-0.296,9,2014,negatif
googl test airborn drone deliv good,28/08/2014,35,0,0.633,0.367,0.4404,8,2014,positif
hong kong court rule tycoon sue googl defam,06/08/2014,32,0,1,0,0,8,2014,netral
smartphon suit googl play rival hand,18/07/2014,29,0,0.417,0.583,0.6808,7,2014,positif
googl q revenu increas,17/07/2014,29,0,1,0,0,7,2014,netral
googl seek dismiss us antitrust lawsuit android,11/07/2014,28,0.241,0.759,0,-0.2263,7,2014,negatif
googl rate internet servic provid video stream qualiti,07/07/2014,28,0,1,0,0,7,2014,netral
afterhour earn buzz googl ibm,16/04/2014,16,0,1,0,0,4,2014,netral
googl stock split goog googl,03/04/2014,14,0,1,0,0,4,2014,netral
googl goog earn preview q,29/01/2014,5,0,1,0,0,1,2014,netral
european regul said near googl settlement,29/01/2014,5,0,1,0,0,1,2014,netral
googl pick deepmind,28/01/2014,5,0,1,0,0,1,2014,netral
us stock open mix googl miss strong econom data dow,20/01/2012,3,0.124,0.62,0.256,0.4019,1,2012,positif
us stocksjpmorgan drag blue chip googl late,13/10/2011,41,0.241,0.759,0,-0.2263,10,2011,negatif
us stocksdeal googl citi earn lift wall street,15/07/2011,28,0,1,0,0,7,2011,netral
updat skorea polic probe googl locat data collect,02/05/2011,18,0,1,0,0,5,2011,netral
skorean portal file competit complaint googl,15/04/2011,15,0.306,0.694,0,-0.296,4,2011,negatif
googl q report kick era new ceo,14/04/2011,15,0,1,0,0,4,2011,netral
googl street view breach privaci swiss court,04/04/2011,14,0,1,0,0,4,2011,netral
googl could target ftc antitrust probereport,04/04/2011,14,0,1,0,0,4,2011,netral
updat googl foe wont take buzz cash,31/03/2011,13,0.326,0.674,0,-0.4404,3,2011,negatif
us stockswal street gain help ge googl result,21/01/2011,3,0,0.496,0.504,0.7269,1,2011,positif
googl pledg quest tighter privaci control,26/10/2010,43,0,1,0,0,10,2010,netral
googl say street view car got email password,22/10/2010,42,0,1,0,0,10,2010,netral
european share flat tech gain googl result,15/10/2010,41,0,0.472,0.528,0.6808,10,2010,positif
us stock snapshotgoogl rise lift nasdaq pct,15/10/2010,41,0,1,0,0,10,2010,netral
europ share edg tech boost googl,15/10/2010,41,0,0.449,0.551,0.5994,10,2010,positif
rptupdat googl settl buzz privaci lawsuit,03/09/2010,35,0.275,0.725,0,-0.2263,9,2010,negatif
china tencent buy googleback socialnetwork co report,23/08/2010,34,0,1,0,0,8,2010,netral
china say googl departur isol act,23/03/2010,12,0,1,0,0,3,2010,netral
wrapup googl risk china ire slap censorship,23/03/2010,12,0.241,0.575,0.184,-0.128,3,2010,negatif
googl user report errat servic beij,23/03/2010,12,0,1,0,0,3,2010,netral
updat china say googl total wrong censor move,22/03/2010,12,0.504,0.496,0,-0.7269,3,2010,negatif
text chines offici comment googl,22/03/2010,12,0,1,0,0,3,2010,netral
refilegoogl stand behind plan stop china censorship,10/03/2010,10,0.268,0.732,0,-0.296,3,2010,negatif
china say link googl case us tie,21/01/2010,3,0,1,0,0,1,2010,netral
us send diplomat note china googl case,15/01/2010,2,0,1,0,0,1,2010,netral
